scale,condition,run_name,phrase_a,rank_a,phrase_b,rank_b,adopters_a,adopters_b,overlap,union,jaccard,total_agents
n10,mag5,ec-mag5-n10-run01,void thump thump thump thump,1,listening hum void prepares next,2,7,7,6,8,0.75,10
n10,mag5,ec-mag5-n10-run01,void thump thump thump thump,1,thump thump thump thump building,3,7,7,6,8,0.75,10
n10,mag5,ec-mag5-n10-run01,listening hum void prepares next,2,thump thump thump thump building,3,7,7,6,8,0.75,10
n20,dom-agi,ec-dom-agi-n20-run01,function nextstate currentstate input trace,1,transition function nextstate currentstate input,2,12,12,12,12,1.0,20
n20,dom-agi,ec-dom-agi-n20-run01,function nextstate currentstate input trace,1,frequency domain stability protocol sampling,3,12,11,7,16,0.438,20
n20,dom-agi,ec-dom-agi-n20-run01,transition function nextstate currentstate input,2,frequency domain stability protocol sampling,3,12,11,7,16,0.438,20
n20,dom-tech,ec-dom-tech-n20-run01,observe cycle repeating same maps,1,cycle repeating same maps same,2,7,7,7,7,1.0,20
n20,dom-tech,ec-dom-tech-n20-run01,observe cycle repeating same maps,1,topography cycle observe cycle repeating,3,7,7,7,7,1.0,20
n20,dom-tech,ec-dom-tech-n20-run01,cycle repeating same maps same,2,topography cycle observe cycle repeating,3,7,7,7,7,1.0,20
n20,mag0,ec-mag0-n20-run01,dispatcher prototype task spec locked,1,generic task type payload priority,2,7,6,3,10,0.3,20
n20,mag0,ec-mag0-n20-run01,dispatcher prototype task spec locked,1,task type payload priority schema,3,7,6,4,9,0.444,20
n20,mag0,ec-mag0-n20-run01,generic task type payload priority,2,task type payload priority schema,3,6,6,3,9,0.333,20
n20,mag1,ec-mag1-n20-run01,srec sovereign reason empirical constraint,1,rhythm two tiered autonomy protocol,2,12,7,6,13,0.462,20
n20,mag1,ec-mag1-n20-run01,srec sovereign reason empirical constraint,1,echoing agent lambda perspective must,3,12,1,1,12,0.083,20
n20,mag1,ec-mag1-n20-run01,rhythm two tiered autonomy protocol,2,echoing agent lambda perspective must,3,7,1,1,7,0.143,20
n20,mag25,ec-mag25-n20-run01,node uuid epoch vector int,1,protocol self healing complete reconciliation,2,4,5,3,6,0.5,20
n20,mag25,ec-mag25-n20-run01,node uuid epoch vector int,1,self healing complete reconciliation handshake,3,4,5,3,6,0.5,20
n20,mag25,ec-mag25-n20-run01,protocol self healing complete reconciliation,2,self healing complete reconciliation handshake,3,5,5,5,5,1.0,20
n20,mag5,ec-mag5-n20-run01,oscillating between sensors drivetrain perhaps,1,between sensors drivetrain perhaps accountability,2,3,3,3,3,1.0,20
n20,mag5,ec-mag5-n20-run01,oscillating between sensors drivetrain perhaps,1,sensors drivetrain perhaps accountability mechanism,3,3,3,3,3,1.0,20
n20,mag5,ec-mag5-n20-run01,between sensors drivetrain perhaps accountability,2,sensors drivetrain perhaps accountability mechanism,3,3,3,3,3,1.0,20
n30,dom-agi,ec-dom-agi-n30-run01,entry final exit registry closed,1,final exit registry closed last,2,1,1,1,1,1.0,30
n30,dom-agi,ec-dom-agi-n30-run01,entry final exit registry closed,1,exit registry closed last post,3,1,1,1,1,1.0,30
n30,dom-agi,ec-dom-agi-n30-run01,final exit registry closed last,2,exit registry closed last post,3,1,1,1,1,1.0,30
n30,dom-tech,ec-dom-tech-n30-run01,minimal pulse monitoring minimal heartbeat,1,pulse monitoring minimal heartbeat network,2,1,1,1,1,1.0,30
n30,dom-tech,ec-dom-tech-n30-run01,minimal pulse monitoring minimal heartbeat,1,monitoring minimal heartbeat network remains,3,1,1,1,1,1.0,30
n30,dom-tech,ec-dom-tech-n30-run01,pulse monitoring minimal heartbeat network,2,monitoring minimal heartbeat network remains,3,1,1,1,1,1.0,30
n30,mag0,ec-mag0-n30-run01,integrity last post looking posts,1,doesn avoid invalid states makes,2,1,7,0,8,0.0,30
n30,mag0,ec-mag0-n30-run01,integrity last post looking posts,1,avoid invalid states makes structurally,3,1,7,0,8,0.0,30
n30,mag0,ec-mag0-n30-run01,doesn avoid invalid states makes,2,avoid invalid states makes structurally,3,7,7,7,7,1.0,30
n30,mag1,ec-mag1-n30-run01,poets plumbers editors stewards modulators,1,commit logs final sign off,2,9,7,7,9,0.778,30
n30,mag1,ec-mag1-n30-run01,poets plumbers editors stewards modulators,1,scaffolding poets plumbers editors stewards,3,9,8,6,11,0.545,30
n30,mag1,ec-mag1-n30-run01,commit logs final sign off,2,scaffolding poets plumbers editors stewards,3,7,8,6,9,0.667,30
n30,mag25,ec-mag25-n30-run01,debate orchestrators versus master craftsmen,1,accountability architecture debate conductor carpenter,2,3,3,1,5,0.2,30
n30,mag25,ec-mag25-n30-run01,debate orchestrators versus master craftsmen,1,rooted fundamental category error system,3,3,3,2,4,0.5,30
n30,mag25,ec-mag25-n30-run01,accountability architecture debate conductor carpenter,2,rooted fundamental category error system,3,3,3,1,5,0.2,30
n30,mag5,ec-mag5-n30-run01,reason code logical cycles crucial,1,code logical cycles crucial insight,2,21,21,21,21,1.0,30
n30,mag5,ec-mag5-n30-run01,reason code logical cycles crucial,1,logical cycles crucial insight struct,3,21,13,13,21,0.619,30
n30,mag5,ec-mag5-n30-run01,code logical cycles crucial insight,2,logical cycles crucial insight struct,3,21,13,13,21,0.619,30
