path,name,suffix,size_bytes,size_mb
analysis/archive-2026-plus-canonical-gemini/embeddings/qwen-qwen3-embedding-8b.json,qwen-qwen3-embedding-8b.json,.json,228,0.0
analysis/archive-2026-plus-canonical-gemini/paper_analysis/paper_analysis_summary.json,paper_analysis_summary.json,.json,954,0.001
analysis/archive-2026-plus-canonical-gemini/combined_posts_index.jsonl,combined_posts_index.jsonl,.jsonl,141894873,135.321
analysis/archive-2026-plus-canonical-gemini/FINAL_REPORT.md,FINAL_REPORT.md,.md,10229,0.01
analysis/archive-2026-plus-canonical-gemini/embedding_report/EMBEDDING_REPORT.md,EMBEDDING_REPORT.md,.md,2997,0.003
analysis/archive-2026-plus-canonical-gemini/paper_analysis/PAPER_STYLE_ANALYSIS.md,PAPER_STYLE_ANALYSIS.md,.md,3456,0.003
analysis/archive-2026-plus-canonical-gemini/embeddings/qwen-qwen3-embedding-8b.npz,qwen-qwen3-embedding-8b.npz,.npz,577497038,550.744
analysis/archive-2026-plus-canonical-gemini/paper_analysis/fig_embedding_delta_vendi_by_condition.pdf,fig_embedding_delta_vendi_by_condition.pdf,.pdf,11019,0.011
analysis/archive-2026-plus-canonical-gemini/paper_analysis/fig_embedding_delta_vendi_by_group.pdf,fig_embedding_delta_vendi_by_group.pdf,.pdf,11077,0.011
analysis/archive-2026-plus-canonical-gemini/paper_analysis/fig_embedding_delta_vendi_by_model.pdf,fig_embedding_delta_vendi_by_model.pdf,.pdf,13998,0.013
analysis/archive-2026-plus-canonical-gemini/paper_analysis/fig_embedding_mds_condition_time.pdf,fig_embedding_mds_condition_time.pdf,.pdf,146298,0.14
analysis/archive-2026-plus-canonical-gemini/paper_analysis/fig_embedding_vendi_over_time_by_condition.pdf,fig_embedding_vendi_over_time_by_condition.pdf,.pdf,16082,0.015
analysis/archive-2026-plus-canonical-gemini/paper_analysis/fig_embedding_vendi_over_time_by_group.pdf,fig_embedding_vendi_over_time_by_group.pdf,.pdf,13801,0.013
analysis/archive-2026-plus-canonical-gemini/embedding_report/fig_group_condition_coherence_heatmap.png,fig_group_condition_coherence_heatmap.png,.png,27675,0.026
analysis/archive-2026-plus-canonical-gemini/embedding_report/fig_svd_by_cluster.png,fig_svd_by_cluster.png,.png,564785,0.539
analysis/archive-2026-plus-canonical-gemini/embedding_report/fig_svd_by_condition.png,fig_svd_by_condition.png,.png,537314,0.512
analysis/archive-2026-plus-canonical-gemini/embedding_report/fig_svd_by_group.png,fig_svd_by_group.png,.png,451232,0.43
analysis/archive-2026-plus-canonical-gemini/embedding_report/fig_svd_by_model.png,fig_svd_by_model.png,.png,499532,0.476
analysis/archive-2026-plus-canonical-gemini/embedding_report/fig_top_cluster_group_shares.png,fig_top_cluster_group_shares.png,.png,62264,0.059
analysis/archive-2026-plus-canonical-gemini/embedding_report/fig_top_cluster_sizes.png,fig_top_cluster_sizes.png,.png,31838,0.03
analysis/archive-2026-plus-canonical-gemini/embedding_report/fig_umap_by_cluster.png,fig_umap_by_cluster.png,.png,106942,0.102
analysis/archive-2026-plus-canonical-gemini/embedding_report/fig_umap_by_group.png,fig_umap_by_group.png,.png,61521,0.059
analysis/archive-2026-plus-canonical-gemini/final_report/fig_final_cluster_sizes.png,fig_final_cluster_sizes.png,.png,22175,0.021
analysis/archive-2026-plus-canonical-gemini/final_report/fig_final_group_dominant_cluster_share.png,fig_final_group_dominant_cluster_share.png,.png,15540,0.015
analysis/archive-2026-plus-canonical-gemini/final_report/fig_final_group_embedding_coherence.png,fig_final_group_embedding_coherence.png,.png,15297,0.015
analysis/archive-2026-plus-canonical-gemini/final_report/fig_final_model_embedding_coherence.png,fig_final_model_embedding_coherence.png,.png,33042,0.032
analysis/archive-2026-plus-canonical-gemini/paper_analysis/fig_embedding_delta_vendi_by_condition.png,fig_embedding_delta_vendi_by_condition.png,.png,65814,0.063
analysis/archive-2026-plus-canonical-gemini/paper_analysis/fig_embedding_delta_vendi_by_group.png,fig_embedding_delta_vendi_by_group.png,.png,62795,0.06
analysis/archive-2026-plus-canonical-gemini/paper_analysis/fig_embedding_delta_vendi_by_model.png,fig_embedding_delta_vendi_by_model.png,.png,116465,0.111
analysis/archive-2026-plus-canonical-gemini/paper_analysis/fig_embedding_mds_condition_time.png,fig_embedding_mds_condition_time.png,.png,1939881,1.85
analysis/archive-2026-plus-canonical-gemini/paper_analysis/fig_embedding_vendi_over_time_by_condition.png,fig_embedding_vendi_over_time_by_condition.png,.png,251895,0.24
analysis/archive-2026-plus-canonical-gemini/paper_analysis/fig_embedding_vendi_over_time_by_group.png,fig_embedding_vendi_over_time_by_group.png,.png,162988,0.155
analysis/archive-2026-plus-canonical-gemini/embedding_cache.sqlite,embedding_cache.sqlite,.sqlite,1865129984,1778.727
