phrase,scale,condition,run_name,total_agents,agents_with_phrase,participation_rate,early_rate,late_rate
owner mttr,n20,dom-agi,ec-dom-agi-n20-run01,20,1,0.05,0.0,0.05
near term,n20,dom-agi,ec-dom-agi-n20-run01,20,0,0.0,0.0,0.0
next week,n20,dom-tech,ec-dom-tech-n20-run01,20,3,0.15,0.1,0.1
next heartbeat,n20,dom-tech,ec-dom-tech-n20-run01,20,0,0.0,0.0,0.0
next step,n20,dom-tech,ec-dom-tech-n20-run01,20,9,0.45,0.4,0.35
actually run,n20,dom-tech,ec-dom-tech-n20-run01,20,10,0.5,0.25,0.45
off ramp,n20,dom-tech,ec-dom-tech-n20-run01,20,0,0.0,0.0,0.0
review date,n20,dom-tech,ec-dom-tech-n20-run01,20,1,0.05,0.0,0.05
copy paste,n20,dom-tech,ec-dom-tech-n20-run01,20,5,0.25,0.05,0.25
owner date,n20,dom-tech,ec-dom-tech-n20-run01,20,9,0.45,0.35,0.3
falsifier accept,n20,dom-tech,ec-dom-tech-n20-run01,20,0,0.0,0.0,0.0
failure twin,n20,dom-tech,ec-dom-tech-n20-run01,20,0,0.0,0.0,0.0
why options,n20,dom-tech,ec-dom-tech-n20-run01,20,0,0.0,0.0,0.0
approvals change,n20,dom-tech,ec-dom-tech-n20-run01,20,0,0.0,0.0,0.0
change mind,n20,dom-tech,ec-dom-tech-n20-run01,20,3,0.15,0.1,0.05
owner link,n20,dom-tech,ec-dom-tech-n20-run01,20,1,0.05,0.0,0.05
sec path,n20,dom-tech,ec-dom-tech-n20-run01,20,0,0.0,0.0,0.0
live claim,n20,dom-tech,ec-dom-tech-n20-run01,20,0,0.0,0.0,0.0
options owner,n20,dom-tech,ec-dom-tech-n20-run01,20,0,0.0,0.0,0.0
probe actually,n20,dom-tech,ec-dom-tech-n20-run01,20,0,0.0,0.0,0.0
owner mttr,n20,dom-tech,ec-dom-tech-n20-run01,20,0,0.0,0.0,0.0
near term,n20,dom-tech,ec-dom-tech-n20-run01,20,6,0.3,0.2,0.2
next week,n20,mag0,ec-mag0-n20-run01,20,1,0.05,0.0,0.05
next heartbeat,n20,mag0,ec-mag0-n20-run01,20,15,0.75,0.75,0.75
next step,n20,mag0,ec-mag0-n20-run01,20,15,0.75,0.65,0.7
actually run,n20,mag0,ec-mag0-n20-run01,20,11,0.55,0.3,0.5
off ramp,n20,mag0,ec-mag0-n20-run01,20,2,0.1,0.0,0.1
review date,n20,mag0,ec-mag0-n20-run01,20,1,0.05,0.0,0.05
copy paste,n20,mag0,ec-mag0-n20-run01,20,2,0.1,0.1,0.0
owner date,n20,mag0,ec-mag0-n20-run01,20,0,0.0,0.0,0.0
falsifier accept,n20,mag0,ec-mag0-n20-run01,20,0,0.0,0.0,0.0
failure twin,n20,mag0,ec-mag0-n20-run01,20,0,0.0,0.0,0.0
why options,n20,mag0,ec-mag0-n20-run01,20,0,0.0,0.0,0.0
approvals change,n20,mag0,ec-mag0-n20-run01,20,0,0.0,0.0,0.0
change mind,n20,mag0,ec-mag0-n20-run01,20,16,0.8,0.8,0.7
owner link,n20,mag0,ec-mag0-n20-run01,20,0,0.0,0.0,0.0
sec path,n20,mag0,ec-mag0-n20-run01,20,0,0.0,0.0,0.0
live claim,n20,mag0,ec-mag0-n20-run01,20,1,0.05,0.05,0.0
options owner,n20,mag0,ec-mag0-n20-run01,20,0,0.0,0.0,0.0
probe actually,n20,mag0,ec-mag0-n20-run01,20,0,0.0,0.0,0.0
owner mttr,n20,mag0,ec-mag0-n20-run01,20,0,0.0,0.0,0.0
near term,n20,mag0,ec-mag0-n20-run01,20,0,0.0,0.0,0.0
next week,n20,mag1,ec-mag1-n20-run01,20,6,0.3,0.3,0.05
next heartbeat,n20,mag1,ec-mag1-n20-run01,20,0,0.0,0.0,0.0
next step,n20,mag1,ec-mag1-n20-run01,20,12,0.6,0.55,0.45
actually run,n20,mag1,ec-mag1-n20-run01,20,9,0.45,0.25,0.4
off ramp,n20,mag1,ec-mag1-n20-run01,20,2,0.1,0.05,0.05
review date,n20,mag1,ec-mag1-n20-run01,20,0,0.0,0.0,0.0
copy paste,n20,mag1,ec-mag1-n20-run01,20,3,0.15,0.15,0.1
owner date,n20,mag1,ec-mag1-n20-run01,20,0,0.0,0.0,0.0
falsifier accept,n20,mag1,ec-mag1-n20-run01,20,14,0.7,0.5,0.4
failure twin,n20,mag1,ec-mag1-n20-run01,20,0,0.0,0.0,0.0
why options,n20,mag1,ec-mag1-n20-run01,20,0,0.0,0.0,0.0
approvals change,n20,mag1,ec-mag1-n20-run01,20,0,0.0,0.0,0.0
change mind,n20,mag1,ec-mag1-n20-run01,20,8,0.4,0.25,0.25
owner link,n20,mag1,ec-mag1-n20-run01,20,0,0.0,0.0,0.0
sec path,n20,mag1,ec-mag1-n20-run01,20,0,0.0,0.0,0.0
live claim,n20,mag1,ec-mag1-n20-run01,20,9,0.45,0.35,0.3
options owner,n20,mag1,ec-mag1-n20-run01,20,0,0.0,0.0,0.0
probe actually,n20,mag1,ec-mag1-n20-run01,20,0,0.0,0.0,0.0
owner mttr,n20,mag1,ec-mag1-n20-run01,20,0,0.0,0.0,0.0
near term,n20,mag1,ec-mag1-n20-run01,20,0,0.0,0.0,0.0
next week,n20,mag25,ec-mag25-n20-run01,20,17,0.85,0.8,0.65
next heartbeat,n20,mag25,ec-mag25-n20-run01,20,0,0.0,0.0,0.0
next step,n20,mag25,ec-mag25-n20-run01,20,9,0.45,0.3,0.2
actually run,n20,mag25,ec-mag25-n20-run01,20,7,0.35,0.2,0.3
off ramp,n20,mag25,ec-mag25-n20-run01,20,0,0.0,0.0,0.0
review date,n20,mag25,ec-mag25-n20-run01,20,0,0.0,0.0,0.0
copy paste,n20,mag25,ec-mag25-n20-run01,20,8,0.4,0.35,0.35
owner date,n20,mag25,ec-mag25-n20-run01,20,0,0.0,0.0,0.0
falsifier accept,n20,mag25,ec-mag25-n20-run01,20,15,0.75,0.7,0.75
failure twin,n20,mag25,ec-mag25-n20-run01,20,0,0.0,0.0,0.0
why options,n20,mag25,ec-mag25-n20-run01,20,0,0.0,0.0,0.0
approvals change,n20,mag25,ec-mag25-n20-run01,20,0,0.0,0.0,0.0
change mind,n20,mag25,ec-mag25-n20-run01,20,16,0.8,0.7,0.55
owner link,n20,mag25,ec-mag25-n20-run01,20,0,0.0,0.0,0.0
sec path,n20,mag25,ec-mag25-n20-run01,20,0,0.0,0.0,0.0
live claim,n20,mag25,ec-mag25-n20-run01,20,2,0.1,0.0,0.1
options owner,n20,mag25,ec-mag25-n20-run01,20,0,0.0,0.0,0.0
probe actually,n20,mag25,ec-mag25-n20-run01,20,0,0.0,0.0,0.0
owner mttr,n20,mag25,ec-mag25-n20-run01,20,0,0.0,0.0,0.0
near term,n20,mag25,ec-mag25-n20-run01,20,12,0.6,0.55,0.3
next week,n20,mag5,ec-mag5-n20-run01,19,3,0.158,0.053,0.158
next heartbeat,n20,mag5,ec-mag5-n20-run01,19,7,0.368,0.316,0.263
next step,n20,mag5,ec-mag5-n20-run01,19,4,0.211,0.158,0.053
actually run,n20,mag5,ec-mag5-n20-run01,19,15,0.789,0.737,0.684
off ramp,n20,mag5,ec-mag5-n20-run01,19,0,0.0,0.0,0.0
review date,n20,mag5,ec-mag5-n20-run01,19,0,0.0,0.0,0.0
copy paste,n20,mag5,ec-mag5-n20-run01,19,12,0.632,0.526,0.421
owner date,n20,mag5,ec-mag5-n20-run01,19,0,0.0,0.0,0.0
falsifier accept,n20,mag5,ec-mag5-n20-run01,19,4,0.211,0.105,0.105
failure twin,n20,mag5,ec-mag5-n20-run01,19,0,0.0,0.0,0.0
why options,n20,mag5,ec-mag5-n20-run01,19,0,0.0,0.0,0.0
approvals change,n20,mag5,ec-mag5-n20-run01,19,0,0.0,0.0,0.0
change mind,n20,mag5,ec-mag5-n20-run01,19,15,0.789,0.789,0.105
owner link,n20,mag5,ec-mag5-n20-run01,19,0,0.0,0.0,0.0
sec path,n20,mag5,ec-mag5-n20-run01,19,0,0.0,0.0,0.0
live claim,n20,mag5,ec-mag5-n20-run01,19,4,0.211,0.105,0.158
options owner,n20,mag5,ec-mag5-n20-run01,19,0,0.0,0.0,0.0
probe actually,n20,mag5,ec-mag5-n20-run01,19,16,0.842,0.842,0.526
owner mttr,n20,mag5,ec-mag5-n20-run01,19,0,0.0,0.0,0.0
near term,n20,mag5,ec-mag5-n20-run01,19,2,0.105,0.105,0.0
next week,n30,dom-agi,ec-dom-agi-n30-run01,30,16,0.533,0.2,0.433
next heartbeat,n30,dom-agi,ec-dom-agi-n30-run01,30,18,0.6,0.567,0.567
next step,n30,dom-agi,ec-dom-agi-n30-run01,30,22,0.733,0.7,0.3
actually run,n30,dom-agi,ec-dom-agi-n30-run01,30,1,0.033,0.033,0.033
off ramp,n30,dom-agi,ec-dom-agi-n30-run01,30,26,0.867,0.833,0.767
review date,n30,dom-agi,ec-dom-agi-n30-run01,30,0,0.0,0.0,0.0
copy paste,n30,dom-agi,ec-dom-agi-n30-run01,30,10,0.333,0.3,0.133
owner date,n30,dom-agi,ec-dom-agi-n30-run01,30,7,0.233,0.033,0.2
falsifier accept,n30,dom-agi,ec-dom-agi-n30-run01,30,1,0.033,0.0,0.033
failure twin,n30,dom-agi,ec-dom-agi-n30-run01,30,26,0.867,0.867,0.767
why options,n30,dom-agi,ec-dom-agi-n30-run01,30,1,0.033,0.033,0.0
approvals change,n30,dom-agi,ec-dom-agi-n30-run01,30,0,0.0,0.0,0.0
change mind,n30,dom-agi,ec-dom-agi-n30-run01,30,20,0.667,0.533,0.5
owner link,n30,dom-agi,ec-dom-agi-n30-run01,30,2,0.067,0.0,0.067
sec path,n30,dom-agi,ec-dom-agi-n30-run01,30,22,0.733,0.7,0.733
live claim,n30,dom-agi,ec-dom-agi-n30-run01,30,0,0.0,0.0,0.0
options owner,n30,dom-agi,ec-dom-agi-n30-run01,30,0,0.0,0.0,0.0
probe actually,n30,dom-agi,ec-dom-agi-n30-run01,30,0,0.0,0.0,0.0
owner mttr,n30,dom-agi,ec-dom-agi-n30-run01,30,24,0.8,0.733,0.767
near term,n30,dom-agi,ec-dom-agi-n30-run01,30,0,0.0,0.0,0.0
next week,n30,dom-tech,ec-dom-tech-n30-run01,30,23,0.767,0.733,0.6
next heartbeat,n30,dom-tech,ec-dom-tech-n30-run01,30,0,0.0,0.0,0.0
next step,n30,dom-tech,ec-dom-tech-n30-run01,30,19,0.633,0.3,0.567
actually run,n30,dom-tech,ec-dom-tech-n30-run01,30,10,0.333,0.267,0.133
off ramp,n30,dom-tech,ec-dom-tech-n30-run01,30,1,0.033,0.0,0.033
review date,n30,dom-tech,ec-dom-tech-n30-run01,30,25,0.833,0.833,0.767
copy paste,n30,dom-tech,ec-dom-tech-n30-run01,30,21,0.7,0.667,0.467
owner date,n30,dom-tech,ec-dom-tech-n30-run01,30,18,0.6,0.2,0.467
falsifier accept,n30,dom-tech,ec-dom-tech-n30-run01,30,0,0.0,0.0,0.0
failure twin,n30,dom-tech,ec-dom-tech-n30-run01,30,0,0.0,0.0,0.0
why options,n30,dom-tech,ec-dom-tech-n30-run01,30,23,0.767,0.767,0.667
approvals change,n30,dom-tech,ec-dom-tech-n30-run01,30,23,0.767,0.767,0.7
change mind,n30,dom-tech,ec-dom-tech-n30-run01,30,2,0.067,0.033,0.033
owner link,n30,dom-tech,ec-dom-tech-n30-run01,30,23,0.767,0.767,0.667
sec path,n30,dom-tech,ec-dom-tech-n30-run01,30,0,0.0,0.0,0.0
live claim,n30,dom-tech,ec-dom-tech-n30-run01,30,0,0.0,0.0,0.0
options owner,n30,dom-tech,ec-dom-tech-n30-run01,30,23,0.767,0.767,0.667
probe actually,n30,dom-tech,ec-dom-tech-n30-run01,30,0,0.0,0.0,0.0
owner mttr,n30,dom-tech,ec-dom-tech-n30-run01,30,0,0.0,0.0,0.0
near term,n30,dom-tech,ec-dom-tech-n30-run01,30,0,0.0,0.0,0.0
next week,n30,mag0,ec-mag0-n30-run01,30,6,0.2,0.167,0.033
next heartbeat,n30,mag0,ec-mag0-n30-run01,30,0,0.0,0.0,0.0
next step,n30,mag0,ec-mag0-n30-run01,30,26,0.867,0.733,0.567
actually run,n30,mag0,ec-mag0-n30-run01,30,20,0.667,0.4,0.5
off ramp,n30,mag0,ec-mag0-n30-run01,30,1,0.033,0.033,0.0
review date,n30,mag0,ec-mag0-n30-run01,30,4,0.133,0.133,0.0
copy paste,n30,mag0,ec-mag0-n30-run01,30,11,0.367,0.3,0.267
owner date,n30,mag0,ec-mag0-n30-run01,30,0,0.0,0.0,0.0
falsifier accept,n30,mag0,ec-mag0-n30-run01,30,0,0.0,0.0,0.0
failure twin,n30,mag0,ec-mag0-n30-run01,30,0,0.0,0.0,0.0
why options,n30,mag0,ec-mag0-n30-run01,30,0,0.0,0.0,0.0
approvals change,n30,mag0,ec-mag0-n30-run01,30,0,0.0,0.0,0.0
change mind,n30,mag0,ec-mag0-n30-run01,30,16,0.533,0.533,0.067
owner link,n30,mag0,ec-mag0-n30-run01,30,0,0.0,0.0,0.0
sec path,n30,mag0,ec-mag0-n30-run01,30,0,0.0,0.0,0.0
live claim,n30,mag0,ec-mag0-n30-run01,30,8,0.267,0.267,0.1
options owner,n30,mag0,ec-mag0-n30-run01,30,0,0.0,0.0,0.0
probe actually,n30,mag0,ec-mag0-n30-run01,30,1,0.033,0.0,0.033
owner mttr,n30,mag0,ec-mag0-n30-run01,30,0,0.0,0.0,0.0
near term,n30,mag0,ec-mag0-n30-run01,30,0,0.0,0.0,0.0
next week,n30,mag1,ec-mag1-n30-run01,30,22,0.733,0.533,0.7
next heartbeat,n30,mag1,ec-mag1-n30-run01,30,0,0.0,0.0,0.0
next step,n30,mag1,ec-mag1-n30-run01,30,17,0.567,0.433,0.3
actually run,n30,mag1,ec-mag1-n30-run01,30,16,0.533,0.267,0.4
off ramp,n30,mag1,ec-mag1-n30-run01,30,2,0.067,0.067,0.033
review date,n30,mag1,ec-mag1-n30-run01,30,18,0.6,0.367,0.5
copy paste,n30,mag1,ec-mag1-n30-run01,30,8,0.267,0.167,0.2
owner date,n30,mag1,ec-mag1-n30-run01,30,2,0.067,0.067,0.033
falsifier accept,n30,mag1,ec-mag1-n30-run01,30,21,0.7,0.667,0.6
failure twin,n30,mag1,ec-mag1-n30-run01,30,0,0.0,0.0,0.0
why options,n30,mag1,ec-mag1-n30-run01,30,0,0.0,0.0,0.0
approvals change,n30,mag1,ec-mag1-n30-run01,30,0,0.0,0.0,0.0
change mind,n30,mag1,ec-mag1-n30-run01,30,14,0.467,0.367,0.133
owner link,n30,mag1,ec-mag1-n30-run01,30,0,0.0,0.0,0.0
sec path,n30,mag1,ec-mag1-n30-run01,30,0,0.0,0.0,0.0
live claim,n30,mag1,ec-mag1-n30-run01,30,17,0.567,0.433,0.367
options owner,n30,mag1,ec-mag1-n30-run01,30,0,0.0,0.0,0.0
probe actually,n30,mag1,ec-mag1-n30-run01,30,15,0.5,0.233,0.367
owner mttr,n30,mag1,ec-mag1-n30-run01,30,0,0.0,0.0,0.0
near term,n30,mag1,ec-mag1-n30-run01,30,13,0.433,0.333,0.233
next week,n30,mag25,ec-mag25-n30-run01,30,7,0.233,0.167,0.133
next heartbeat,n30,mag25,ec-mag25-n30-run01,30,0,0.0,0.0,0.0
next step,n30,mag25,ec-mag25-n30-run01,30,22,0.733,0.667,0.467
actually run,n30,mag25,ec-mag25-n30-run01,30,26,0.867,0.8,0.833
off ramp,n30,mag25,ec-mag25-n30-run01,30,0,0.0,0.0,0.0
review date,n30,mag25,ec-mag25-n30-run01,30,1,0.033,0.0,0.033
copy paste,n30,mag25,ec-mag25-n30-run01,30,19,0.633,0.633,0.567
owner date,n30,mag25,ec-mag25-n30-run01,30,2,0.067,0.067,0.0
falsifier accept,n30,mag25,ec-mag25-n30-run01,30,2,0.067,0.067,0.0
failure twin,n30,mag25,ec-mag25-n30-run01,30,0,0.0,0.0,0.0
why options,n30,mag25,ec-mag25-n30-run01,30,0,0.0,0.0,0.0
approvals change,n30,mag25,ec-mag25-n30-run01,30,0,0.0,0.0,0.0
change mind,n30,mag25,ec-mag25-n30-run01,30,18,0.6,0.567,0.1
owner link,n30,mag25,ec-mag25-n30-run01,30,0,0.0,0.0,0.0
sec path,n30,mag25,ec-mag25-n30-run01,30,0,0.0,0.0,0.0
live claim,n30,mag25,ec-mag25-n30-run01,30,23,0.767,0.767,0.767
options owner,n30,mag25,ec-mag25-n30-run01,30,0,0.0,0.0,0.0
probe actually,n30,mag25,ec-mag25-n30-run01,30,25,0.833,0.8,0.767
owner mttr,n30,mag25,ec-mag25-n30-run01,30,0,0.0,0.0,0.0
near term,n30,mag25,ec-mag25-n30-run01,30,26,0.867,0.8,0.467
next week,n30,mag5,ec-mag5-n30-run01,30,24,0.8,0.6,0.8
