scale,condition,run_name,phrase,phrase_rank,total_agents,agents_with_phrase,participation_rate,agents_early_0_30,agents_late_30_60,early_rate,late_rate
n30,mag0,ec-mag0-n30-run01,intent obs tripwire decision lesson,1,30,11,0.367,11,4,0.367,0.133
n30,mag0,ec-mag0-n30-run01,metric baseline duration scope excl,2,30,14,0.467,8,14,0.267,0.467
n30,mag0,ec-mag0-n30-run01,baseline duration scope excl noise,3,30,14,0.467,8,14,0.267,0.467
n30,mag0,ec-mag0-n30-run01,intent obs flip decision lesson,4,30,13,0.433,2,12,0.067,0.4
n30,mag0,ec-mag0-n30-run01,duration scope excl noise exit,5,30,13,0.433,1,12,0.033,0.4
n30,mag1,ec-mag1-n30-run01,steelman failure mode circle back,1,30,16,0.533,14,12,0.467,0.4
n30,mag1,ec-mag1-n30-run01,trade steelman failure mode circle,2,30,16,0.533,14,12,0.467,0.4
n30,mag1,ec-mag1-n30-run01,circle back next week deltas,3,30,13,0.433,9,11,0.3,0.367
n30,mag1,ec-mag1-n30-run01,failure mode circle back next,4,30,14,0.467,11,10,0.367,0.333
n30,mag1,ec-mag1-n30-run01,mode circle back next week,5,30,14,0.467,11,10,0.367,0.333
n30,mag25,ec-mag25-n30-run01,tier hypothesis falsifier matched threads,1,30,12,0.4,11,9,0.367,0.3
n30,mag25,ec-mag25-n30-run01,probe actually run pivot keep,2,30,16,0.533,13,15,0.433,0.5
n30,mag25,ec-mag25-n30-run01,coffee bet tier fact hypothesis,3,30,10,0.333,10,2,0.333,0.067
n30,mag25,ec-mag25-n30-run01,bet tier fact hypothesis narrative,4,30,10,0.333,10,2,0.333,0.067
n30,mag25,ec-mag25-n30-run01,falsifier matched threads uplift drop,5,30,10,0.333,8,8,0.267,0.267
n30,mag5,ec-mag5-n30-run01,changed strongest source next check,1,30,23,0.767,22,21,0.733,0.7
n30,mag5,ec-mag5-n30-run01,next week changed strongest source,2,30,21,0.7,14,20,0.467,0.667
n30,mag5,ec-mag5-n30-run01,week changed strongest source next,3,30,21,0.7,14,20,0.467,0.667
n30,mag5,ec-mag5-n30-run01,receipt next week changed strongest,4,30,20,0.667,13,17,0.433,0.567
n30,mag5,ec-mag5-n30-run01,actually check friday owner date,5,30,17,0.567,12,14,0.4,0.467
