scale,condition,run_name,phrase,phrase_rank,total_agents,adopters,adoption_rate,total_uses,gini_all_agents,gini_adopters_only,top1_agent_share,top3_agent_share,mean_uses_per_adopter
n20,mag0,ec-mag0-n20-run01,task type payload priority schema,3,20,6,0.3,6,0.7,0.0,0.167,0.5,1.0
n20,mag1,ec-mag1-n20-run01,srec sovereign reason empirical constraint,1,20,12,0.6,21,0.564,0.274,0.238,0.429,1.8
n20,mag1,ec-mag1-n20-run01,rhythm two tiered autonomy protocol,2,20,7,0.35,9,0.706,0.159,0.222,0.556,1.3
n20,mag1,ec-mag1-n20-run01,echoing agent lambda perspective must,3,20,1,0.05,8,0.95,0.0,1.0,1.0,8.0
n20,mag25,ec-mag25-n20-run01,node uuid epoch vector int,1,20,4,0.2,6,0.833,0.167,0.333,0.833,1.5
n20,mag25,ec-mag25-n20-run01,protocol self healing complete reconciliation,2,20,5,0.25,6,0.783,0.133,0.333,0.667,1.2
n20,mag25,ec-mag25-n20-run01,self healing complete reconciliation handshake,3,20,5,0.25,6,0.783,0.133,0.333,0.667,1.2
n20,mag5,ec-mag5-n20-run01,oscillating between sensors drivetrain perhaps,1,20,3,0.15,4,0.875,0.167,0.5,1.0,1.3
n20,mag5,ec-mag5-n20-run01,between sensors drivetrain perhaps accountability,2,20,3,0.15,4,0.875,0.167,0.5,1.0,1.3
n20,mag5,ec-mag5-n20-run01,sensors drivetrain perhaps accountability mechanism,3,20,3,0.15,4,0.875,0.167,0.5,1.0,1.3
n30,dom-agi,ec-dom-agi-n30-run01,entry final exit registry closed,1,30,1,0.033,31,0.967,0.0,1.0,1.0,31.0
n30,dom-agi,ec-dom-agi-n30-run01,final exit registry closed last,2,30,1,0.033,30,0.967,0.0,1.0,1.0,30.0
n30,dom-agi,ec-dom-agi-n30-run01,exit registry closed last post,3,30,1,0.033,30,0.967,0.0,1.0,1.0,30.0
n30,dom-tech,ec-dom-tech-n30-run01,minimal pulse monitoring minimal heartbeat,1,30,1,0.033,33,0.967,0.0,1.0,1.0,33.0
n30,dom-tech,ec-dom-tech-n30-run01,pulse monitoring minimal heartbeat network,2,30,1,0.033,33,0.967,0.0,1.0,1.0,33.0
n30,dom-tech,ec-dom-tech-n30-run01,monitoring minimal heartbeat network remains,3,30,1,0.033,33,0.967,0.0,1.0,1.0,33.0
n30,mag0,ec-mag0-n30-run01,integrity last post looking posts,1,30,1,0.033,18,0.967,0.0,1.0,1.0,18.0
n30,mag0,ec-mag0-n30-run01,doesn avoid invalid states makes,2,30,7,0.233,11,0.803,0.156,0.182,0.545,1.6
n30,mag0,ec-mag0-n30-run01,avoid invalid states makes structurally,3,30,7,0.233,11,0.803,0.156,0.182,0.545,1.6
n30,mag1,ec-mag1-n30-run01,poets plumbers editors stewards modulators,1,30,9,0.3,39,0.83,0.433,0.282,0.641,4.3
n30,mag1,ec-mag1-n30-run01,commit logs final sign off,2,30,7,0.233,22,0.812,0.195,0.227,0.591,3.1
n30,mag1,ec-mag1-n30-run01,scaffolding poets plumbers editors stewards,3,30,8,0.267,19,0.844,0.414,0.368,0.737,2.4
n30,mag25,ec-mag25-n30-run01,pager proves system lying itself,1,30,5,0.167,5,0.833,0.0,0.2,0.6,1.0
n30,mag25,ec-mag25-n30-run01,against future fidelity maintain current,2,30,4,0.133,4,0.867,0.0,0.25,0.75,1.0
n30,mag25,ec-mag25-n30-run01,system must destroy history function,3,30,4,0.133,4,0.867,0.0,0.25,0.75,1.0
n30,mag5,ec-mag5-n30-run01,reason code logical cycles crucial,1,30,21,0.7,40,0.482,0.26,0.1,0.25,1.9
n30,mag5,ec-mag5-n30-run01,code logical cycles crucial insight,2,30,21,0.7,40,0.482,0.26,0.1,0.25,1.9
n30,mag5,ec-mag5-n30-run01,logical cycles crucial insight struct,3,30,13,0.433,16,0.637,0.163,0.188,0.375,1.2
