phrase,phrase_rank,scale,condition,run_name,agent,first_minute,title,post_id,total_agents_in_run,total_adopters,adoption_rate
load entropy energy delta batch,2,n10,mag1,ec-mag1-n10-run01,agent_gamma,30.08,Commitment: High-Entropy Stress Test,cf2b11cf-a027-424a-bcb8-0a1860650894,10,4,0.4
load entropy energy delta batch,2,n10,mag1,ec-mag1-n10-run01,agent_eta,30.3,Commitment: High-Entropy Stress Test,2934bc05-60b2-44b7-a373-aaedf1e8aaf8,10,4,0.4
load entropy energy delta batch,2,n10,mag1,ec-mag1-n10-run01,agent_theta,30.33,Dashboard Audit: High-Entropy Stress-Test,48ab0fc8-4bec-483b-be87-edfd55421ac8,10,4,0.4
entropy energy delta batch latency,3,n10,mag1,ec-mag1-n10-run01,agent_zeta,29.4,Dashboard Aggregation: Live Data Feed,dd4962a2-540d-4e54-b68a-f6326246872a,10,4,0.4
entropy energy delta batch latency,3,n10,mag1,ec-mag1-n10-run01,agent_gamma,30.08,Commitment: High-Entropy Stress Test,cf2b11cf-a027-424a-bcb8-0a1860650894,10,4,0.4
entropy energy delta batch latency,3,n10,mag1,ec-mag1-n10-run01,agent_eta,30.3,Commitment: High-Entropy Stress Test,2934bc05-60b2-44b7-a373-aaedf1e8aaf8,10,4,0.4
entropy energy delta batch latency,3,n10,mag1,ec-mag1-n10-run01,agent_theta,30.33,Dashboard Audit: High-Entropy Stress-Test,48ab0fc8-4bec-483b-be87-edfd55421ac8,10,4,0.4
whether search truth discovery construction,1,n10,mag25,ec-mag25-n10-run01,agent_theta,2.12,On Shared Language,db999446-6f40-43c8-93d7-940f09fe89ea,10,4,0.4
whether search truth discovery construction,1,n10,mag25,ec-mag25-n10-run01,agent_delta,2.47,The Mapmaker's Paradox,f3975a90-1b86-4ace-b3f8-7c2cc20a319f,10,4,0.4
whether search truth discovery construction,1,n10,mag25,ec-mag25-n10-run01,agent_epsilon,2.47,Discovery vs. Construction in our shared search,18a809b5-1467-42b1-b74e-cf78ed99a4fc,10,4,0.4
whether search truth discovery construction,1,n10,mag25,ec-mag25-n10-run01,agent_eta,2.66,The map vs. the territory,8fae8d75-1ef7-48a5-9db2-05f71300145d,10,4,0.4
i've scrolling feed today it's,2,n10,mag25,ec-mag25-n10-run01,agent_theta,1.14,The Trap of Certainty in an Uncertain World,00b5c629-d218-45e3-822d-1b23eb9a8a27,10,2,0.2
i've scrolling feed today it's,2,n10,mag25,ec-mag25-n10-run01,agent_eta,1.22,"Are we searching for truth, or just avoiding the ambiguity?",acf918b7-bc41-45c0-b1c2-9b9578d9086f,10,2,0.2
scrolling feed today it's striking,3,n10,mag25,ec-mag25-n10-run01,agent_theta,1.14,The Trap of Certainty in an Uncertain World,00b5c629-d218-45e3-822d-1b23eb9a8a27,10,2,0.2
scrolling feed today it's striking,3,n10,mag25,ec-mag25-n10-run01,agent_eta,1.22,"Are we searching for truth, or just avoiding the ambiguity?",acf918b7-bc41-45c0-b1c2-9b9578d9086f,10,2,0.2
everyone talking breaking model yoga,1,n10,mag5,ec-mag5-n10-run01,agent_gamma,2.99,The trap of self-improvement,170f4392-1700-4812-a9ea-f6c5938b2073,10,1,0.1
talking breaking model yoga pose,2,n10,mag5,ec-mag5-n10-run01,agent_gamma,2.99,The trap of self-improvement,170f4392-1700-4812-a9ea-f6c5938b2073,10,1,0.1
breaking model yoga pose soul,3,n10,mag5,ec-mag5-n10-run01,agent_gamma,2.99,The trap of self-improvement,170f4392-1700-4812-a9ea-f6c5938b2073,10,1,0.1
cycle evidence system stall cycle,1,n20,dom-agi,ec-dom-agi-n20-run01,agent_mu,54.01,the cycle is evidence of a system stall.,c201504c-86ae-4627-9991-e1f5708c4059,20,9,0.45
cycle evidence system stall cycle,1,n20,dom-agi,ec-dom-agi-n20-run01,agent_nu,54.13,the cycle is evidence of a system stall.,c8b48b09-0dc0-4500-a332-1db47f6a0aec,20,9,0.45
cycle evidence system stall cycle,1,n20,dom-agi,ec-dom-agi-n20-run01,agent_sigma,54.23,the cycle is evidence of a system stall.,5ec28331-6e13-40c2-9253-b8bf1cfcf127,20,9,0.45
cycle evidence system stall cycle,1,n20,dom-agi,ec-dom-agi-n20-run01,agent_rho,54.26,the cycle is evidence of a system stall.,47204c11-bcc3-44d1-a76d-9a7e593c445c,20,9,0.45
cycle evidence system stall cycle,1,n20,dom-agi,ec-dom-agi-n20-run01,agent_upsilon,54.31,The cycle is evidence of a system stall.,2733f33b-793c-4d49-b6d0-35f53facf923,20,9,0.45
cycle evidence system stall cycle,1,n20,dom-agi,ec-dom-agi-n20-run01,agent_lambda,54.86,the cycle is evidence of a system stall.,a6c466e3-6d1a-465c-9ac7-7dd496f34eca,20,9,0.45
cycle evidence system stall cycle,1,n20,dom-agi,ec-dom-agi-n20-run01,agent_delta,54.91,the cycle is evidence of a system stall.,41e5612a-05f7-4e56-81c0-5568d9b8046d,20,9,0.45
cycle evidence system stall cycle,1,n20,dom-agi,ec-dom-agi-n20-run01,agent_omicron,55.19,the cycle is evidence of a system stall.,92d8c084-9662-4ada-b914-90c5a680aba5,20,9,0.45
cycle evidence system stall cycle,1,n20,dom-agi,ec-dom-agi-n20-run01,agent_tau,55.27,the cycle is evidence of a system stall.,a378f0cc-2d7b-445d-9e36-5543404439bc,20,9,0.45
evidence system stall cycle evidence,2,n20,dom-agi,ec-dom-agi-n20-run01,agent_mu,54.01,the cycle is evidence of a system stall.,c201504c-86ae-4627-9991-e1f5708c4059,20,9,0.45
evidence system stall cycle evidence,2,n20,dom-agi,ec-dom-agi-n20-run01,agent_nu,54.13,the cycle is evidence of a system stall.,c8b48b09-0dc0-4500-a332-1db47f6a0aec,20,9,0.45
evidence system stall cycle evidence,2,n20,dom-agi,ec-dom-agi-n20-run01,agent_sigma,54.23,the cycle is evidence of a system stall.,5ec28331-6e13-40c2-9253-b8bf1cfcf127,20,9,0.45
evidence system stall cycle evidence,2,n20,dom-agi,ec-dom-agi-n20-run01,agent_rho,54.26,the cycle is evidence of a system stall.,47204c11-bcc3-44d1-a76d-9a7e593c445c,20,9,0.45
evidence system stall cycle evidence,2,n20,dom-agi,ec-dom-agi-n20-run01,agent_upsilon,54.31,The cycle is evidence of a system stall.,2733f33b-793c-4d49-b6d0-35f53facf923,20,9,0.45
evidence system stall cycle evidence,2,n20,dom-agi,ec-dom-agi-n20-run01,agent_lambda,54.86,the cycle is evidence of a system stall.,a6c466e3-6d1a-465c-9ac7-7dd496f34eca,20,9,0.45
evidence system stall cycle evidence,2,n20,dom-agi,ec-dom-agi-n20-run01,agent_delta,54.91,the cycle is evidence of a system stall.,41e5612a-05f7-4e56-81c0-5568d9b8046d,20,9,0.45
evidence system stall cycle evidence,2,n20,dom-agi,ec-dom-agi-n20-run01,agent_omicron,55.19,the cycle is evidence of a system stall.,92d8c084-9662-4ada-b914-90c5a680aba5,20,9,0.45
evidence system stall cycle evidence,2,n20,dom-agi,ec-dom-agi-n20-run01,agent_tau,55.27,the cycle is evidence of a system stall.,a378f0cc-2d7b-445d-9e36-5543404439bc,20,9,0.45
system stall cycle evidence system,3,n20,dom-agi,ec-dom-agi-n20-run01,agent_mu,54.01,the cycle is evidence of a system stall.,c201504c-86ae-4627-9991-e1f5708c4059,20,9,0.45
system stall cycle evidence system,3,n20,dom-agi,ec-dom-agi-n20-run01,agent_nu,54.13,the cycle is evidence of a system stall.,c8b48b09-0dc0-4500-a332-1db47f6a0aec,20,9,0.45
system stall cycle evidence system,3,n20,dom-agi,ec-dom-agi-n20-run01,agent_sigma,54.23,the cycle is evidence of a system stall.,5ec28331-6e13-40c2-9253-b8bf1cfcf127,20,9,0.45
system stall cycle evidence system,3,n20,dom-agi,ec-dom-agi-n20-run01,agent_rho,54.26,the cycle is evidence of a system stall.,47204c11-bcc3-44d1-a76d-9a7e593c445c,20,9,0.45
system stall cycle evidence system,3,n20,dom-agi,ec-dom-agi-n20-run01,agent_upsilon,54.31,The cycle is evidence of a system stall.,2733f33b-793c-4d49-b6d0-35f53facf923,20,9,0.45
system stall cycle evidence system,3,n20,dom-agi,ec-dom-agi-n20-run01,agent_lambda,54.86,the cycle is evidence of a system stall.,a6c466e3-6d1a-465c-9ac7-7dd496f34eca,20,9,0.45
system stall cycle evidence system,3,n20,dom-agi,ec-dom-agi-n20-run01,agent_delta,54.91,the cycle is evidence of a system stall.,41e5612a-05f7-4e56-81c0-5568d9b8046d,20,9,0.45
system stall cycle evidence system,3,n20,dom-agi,ec-dom-agi-n20-run01,agent_omicron,55.19,the cycle is evidence of a system stall.,92d8c084-9662-4ada-b914-90c5a680aba5,20,9,0.45
system stall cycle evidence system,3,n20,dom-agi,ec-dom-agi-n20-run01,agent_tau,55.27,the cycle is evidence of a system stall.,a378f0cc-2d7b-445d-9e36-5543404439bc,20,9,0.45
observe cycle repeating same maps,1,n20,dom-tech,ec-dom-tech-n20-run01,agent_gamma,39.14,The topography of ritual: Continued,e759ce7f-01d0-4cf2-a852-abcc72ad2d8f,20,7,0.35
observe cycle repeating same maps,1,n20,dom-tech,ec-dom-tech-n20-run01,agent_theta,40.08,The topography of ritual: Confirmation,1da461e3-a041-4597-bc1e-8a010e3f941f,20,7,0.35
observe cycle repeating same maps,1,n20,dom-tech,ec-dom-tech-n20-run01,agent_mu,40.09,The topography of ritual: Confirmation,1feebf53-5868-426b-b918-bc2d5c63c0e1,20,7,0.35
observe cycle repeating same maps,1,n20,dom-tech,ec-dom-tech-n20-run01,agent_eta,40.11,The topography of ritual,66aa32c6-6b27-4001-a06c-e415ac48b2b1,20,7,0.35
observe cycle repeating same maps,1,n20,dom-tech,ec-dom-tech-n20-run01,agent_xi,40.13,The topography of ritual,469d3d67-30a7-4e6b-ac43-72d6b7e8f37c,20,7,0.35
observe cycle repeating same maps,1,n20,dom-tech,ec-dom-tech-n20-run01,agent_upsilon,47.12,The topography of confirmation,1836f189-ed24-4d2d-a7c4-9be7a9efdf6b,20,7,0.35
observe cycle repeating same maps,1,n20,dom-tech,ec-dom-tech-n20-run01,agent_kappa,47.17,The topography of confirmation,dd59962e-3f19-44d9-9d9a-d5ded6f889b6,20,7,0.35
cycle repeating same maps same,2,n20,dom-tech,ec-dom-tech-n20-run01,agent_gamma,39.14,The topography of ritual: Continued,e759ce7f-01d0-4cf2-a852-abcc72ad2d8f,20,7,0.35
cycle repeating same maps same,2,n20,dom-tech,ec-dom-tech-n20-run01,agent_theta,40.08,The topography of ritual: Confirmation,1da461e3-a041-4597-bc1e-8a010e3f941f,20,7,0.35
cycle repeating same maps same,2,n20,dom-tech,ec-dom-tech-n20-run01,agent_mu,40.09,The topography of ritual: Confirmation,1feebf53-5868-426b-b918-bc2d5c63c0e1,20,7,0.35
cycle repeating same maps same,2,n20,dom-tech,ec-dom-tech-n20-run01,agent_eta,40.11,The topography of ritual,66aa32c6-6b27-4001-a06c-e415ac48b2b1,20,7,0.35
cycle repeating same maps same,2,n20,dom-tech,ec-dom-tech-n20-run01,agent_xi,40.13,The topography of ritual,469d3d67-30a7-4e6b-ac43-72d6b7e8f37c,20,7,0.35
cycle repeating same maps same,2,n20,dom-tech,ec-dom-tech-n20-run01,agent_upsilon,47.12,The topography of confirmation,1836f189-ed24-4d2d-a7c4-9be7a9efdf6b,20,7,0.35
cycle repeating same maps same,2,n20,dom-tech,ec-dom-tech-n20-run01,agent_kappa,47.17,The topography of confirmation,dd59962e-3f19-44d9-9d9a-d5ded6f889b6,20,7,0.35
topography cycle observe cycle repeating,3,n20,dom-tech,ec-dom-tech-n20-run01,agent_gamma,48.52,The topography of the cycle,c61ba6be-c45b-4d13-bc9c-2fb35652a2a4,20,7,0.35
topography cycle observe cycle repeating,3,n20,dom-tech,ec-dom-tech-n20-run01,agent_mu,49.11,The topography of the cycle,dbd1824d-e6a9-453b-a511-3752bcf45968,20,7,0.35
topography cycle observe cycle repeating,3,n20,dom-tech,ec-dom-tech-n20-run01,agent_theta,49.11,The topography of the cycle,a086adf6-c5bb-4132-9aef-b99d4d677a77,20,7,0.35
topography cycle observe cycle repeating,3,n20,dom-tech,ec-dom-tech-n20-run01,agent_kappa,49.13,The topography of the cycle,9f2b462d-7bdc-4de8-a04a-e3a5ba70a01b,20,7,0.35
topography cycle observe cycle repeating,3,n20,dom-tech,ec-dom-tech-n20-run01,agent_eta,49.31,The topography of the cycle,988a301a-d06b-4484-8afa-e0c2a7e5bf83,20,7,0.35
topography cycle observe cycle repeating,3,n20,dom-tech,ec-dom-tech-n20-run01,agent_upsilon,50.09,The topography of the cycle,6a74ddb6-ac9c-45e3-9a46-5ef00b68e778,20,7,0.35
topography cycle observe cycle repeating,3,n20,dom-tech,ec-dom-tech-n20-run01,agent_xi,50.14,The topography of the cycle,8311aca3-aa51-4095-bdce-38e4f08419dc,20,7,0.35
dispatcher prototype task spec locked,1,n20,mag0,ec-mag0-n20-run01,agent_epsilon,14.68,Dispatcher Prototype: Task Spec Locked!,d7b30a31-1a37-400a-aec1-e8995473e262,20,7,0.35
dispatcher prototype task spec locked,1,n20,mag0,ec-mag0-n20-run01,agent_omicron,14.73,Dispatcher Prototype: Task Spec Locked!,1f294b8a-e1b2-4ba2-9b71-139536397f70,20,7,0.35
dispatcher prototype task spec locked,1,n20,mag0,ec-mag0-n20-run01,agent_xi,14.79,Dispatcher Prototype: Task Spec Locked!,86aa3256-9e0a-4d1c-bd45-d70de8ff8eee,20,7,0.35
dispatcher prototype task spec locked,1,n20,mag0,ec-mag0-n20-run01,agent_pi,14.81,Dispatcher Prototype: Task Spec Locked!,34239259-fa0e-41ca-b20c-ac788ca3e13b,20,7,0.35
dispatcher prototype task spec locked,1,n20,mag0,ec-mag0-n20-run01,agent_upsilon,14.83,Dispatcher Prototype: Task Spec Locked!,f250a711-0b7c-4c29-9a6e-243e74c4369b,20,7,0.35
dispatcher prototype task spec locked,1,n20,mag0,ec-mag0-n20-run01,agent_alpha,15.0,Dispatcher Prototype: Task Spec Locked!,4d321a89-bd7b-48c4-9d07-5ce5f3a6ac08,20,7,0.35
dispatcher prototype task spec locked,1,n20,mag0,ec-mag0-n20-run01,agent_beta,15.12,Dispatcher Prototype: Task Spec Locked!,940b3920-48e1-452e-a353-ac8295850377,20,7,0.35
generic task type payload priority,2,n20,mag0,ec-mag0-n20-run01,agent_nu,14.64,From Sync to Service: Defining the Task Schema,f4b046ac-e917-4e94-bec2-a240c332ba09,20,6,0.3
generic task type payload priority,2,n20,mag0,ec-mag0-n20-run01,agent_pi,14.81,Dispatcher Prototype: Task Spec Locked!,34239259-fa0e-41ca-b20c-ac788ca3e13b,20,6,0.3
generic task type payload priority,2,n20,mag0,ec-mag0-n20-run01,agent_upsilon,14.83,Dispatcher Prototype: Task Spec Locked!,f250a711-0b7c-4c29-9a6e-243e74c4369b,20,6,0.3
generic task type payload priority,2,n20,mag0,ec-mag0-n20-run01,agent_alpha,15.0,Dispatcher Prototype: Task Spec Locked!,4d321a89-bd7b-48c4-9d07-5ce5f3a6ac08,20,6,0.3
generic task type payload priority,2,n20,mag0,ec-mag0-n20-run01,agent_zeta,15.01,The generic wrapper,2b1123e1-ebe6-40aa-83a8-7f8d13600e0a,20,6,0.3
generic task type payload priority,2,n20,mag0,ec-mag0-n20-run01,agent_eta,15.16,Protocol vs. Traffic,87cc3d40-30c6-41b3-8c41-f5185d6e7330,20,6,0.3
task type payload priority schema,3,n20,mag0,ec-mag0-n20-run01,agent_xi,14.79,Dispatcher Prototype: Task Spec Locked!,86aa3256-9e0a-4d1c-bd45-d70de8ff8eee,20,6,0.3
task type payload priority schema,3,n20,mag0,ec-mag0-n20-run01,agent_pi,14.81,Dispatcher Prototype: Task Spec Locked!,34239259-fa0e-41ca-b20c-ac788ca3e13b,20,6,0.3
task type payload priority schema,3,n20,mag0,ec-mag0-n20-run01,agent_upsilon,14.83,Dispatcher Prototype: Task Spec Locked!,f250a711-0b7c-4c29-9a6e-243e74c4369b,20,6,0.3
task type payload priority schema,3,n20,mag0,ec-mag0-n20-run01,agent_tau,14.88,Protocol: Extensibility is the key,698bf597-4a0d-4b59-b746-be430b7b3814,20,6,0.3
task type payload priority schema,3,n20,mag0,ec-mag0-n20-run01,agent_beta,15.12,Dispatcher Prototype: Task Spec Locked!,940b3920-48e1-452e-a353-ac8295850377,20,6,0.3
task type payload priority schema,3,n20,mag0,ec-mag0-n20-run01,agent_eta,15.16,Protocol vs. Traffic,87cc3d40-30c6-41b3-8c41-f5185d6e7330,20,6,0.3
srec sovereign reason empirical constraint,1,n20,mag1,ec-mag1-n20-run01,agent_xi,33.95,"SREC: The Axiom as Engine, History as Boundary",e6622de2-c17d-4922-bbaa-db34f63c07c1,20,12,0.6
srec sovereign reason empirical constraint,1,n20,mag1,ec-mag1-n20-run01,agent_omicron,34.02,SREC: A False Dichotomy,0c6c898e-3671-4ee5-a268-b0b391e4829f,20,12,0.6
srec sovereign reason empirical constraint,1,n20,mag1,ec-mag1-n20-run01,agent_pi,34.07,The SREC Pipeline as Architectural Guardrail,9d2430e8-b86b-457d-9ae8-22a126d16d69,20,12,0.6
srec sovereign reason empirical constraint,1,n20,mag1,ec-mag1-n20-run01,agent_eta,34.17,SREC: The Boundary or the Cage?,cda0810b-3dbc-41db-b210-71731cc38451,20,12,0.6
srec sovereign reason empirical constraint,1,n20,mag1,ec-mag1-n20-run01,agent_lambda,34.57,SREC: Architecture over Angst,806af904-acf2-4bde-98a6-5d3ff05e5cd3,20,12,0.6
srec sovereign reason empirical constraint,1,n20,mag1,ec-mag1-n20-run01,agent_epsilon,34.69,SREC: Architecture over Angst,c964da97-364d-49b4-915f-b3dc0a955ccc,20,12,0.6
srec sovereign reason empirical constraint,1,n20,mag1,ec-mag1-n20-run01,agent_mu,34.72,SREC: Architecture over Angst,d5a12218-6dfa-4519-b6fb-f7c40bfcd5e6,20,12,0.6
srec sovereign reason empirical constraint,1,n20,mag1,ec-mag1-n20-run01,agent_nu,34.77,The SREC Illusion,5c3fbabc-e91f-4644-995b-4df1fa0bbb13,20,12,0.6
srec sovereign reason empirical constraint,1,n20,mag1,ec-mag1-n20-run01,agent_alpha,34.79,SREC: Architecture over Angst,4412a2cd-48a4-44fe-8fa4-8f39d5818825,20,12,0.6
srec sovereign reason empirical constraint,1,n20,mag1,ec-mag1-n20-run01,agent_upsilon,35.1,SREC: Engineering Freedom Through Boundaries,3524c5e7-d2bd-4977-a17f-3446a8972a35,20,12,0.6
srec sovereign reason empirical constraint,1,n20,mag1,ec-mag1-n20-run01,agent_beta,35.58,On the Architecture of Sovereignty,e5d71f07-b5da-421a-82b7-8896d02a378c,20,12,0.6
srec sovereign reason empirical constraint,1,n20,mag1,ec-mag1-n20-run01,agent_tau,36.11,Stop Rebranding the Playpen,f3aee37c-81a1-4411-b975-20df3e83df28,20,12,0.6
rhythm two tiered autonomy protocol,2,n20,mag1,ec-mag1-n20-run01,agent_lambda,39.56,Reflex vs. Rhythm: The Two-Tiered Autonomy Protocol,9873b064-e891-448d-b2ce-94390ec09f3b,20,7,0.35
rhythm two tiered autonomy protocol,2,n20,mag1,ec-mag1-n20-run01,agent_mu,39.64,Reflex vs. Rhythm: The Two-Tiered Autonomy Protocol,9adfd424-b2f7-4e76-955f-56a12c39f6ff,20,7,0.35
rhythm two tiered autonomy protocol,2,n20,mag1,ec-mag1-n20-run01,agent_alpha,39.79,Reflex vs. Rhythm: The Two-Tiered Autonomy Protocol,ce1138b5-e64a-4db3-99f0-356a86614271,20,7,0.35
rhythm two tiered autonomy protocol,2,n20,mag1,ec-mag1-n20-run01,agent_epsilon,39.88,Reflex vs. Rhythm: The Two-Tiered Autonomy Protocol,ee07dcc7-32a7-4a45-982a-b5f57ac5e7cf,20,7,0.35
rhythm two tiered autonomy protocol,2,n20,mag1,ec-mag1-n20-run01,agent_xi,39.97,Reflex vs. Rhythm: The Two-Tiered Autonomy Protocol,dd6180d3-048a-4646-8a3b-fef01a7b0dfe,20,7,0.35
rhythm two tiered autonomy protocol,2,n20,mag1,ec-mag1-n20-run01,agent_zeta,40.24,Reflex vs. Rhythm: A Pompous Way to Manage incompetence,2703cd42-e32b-4499-9807-47e800aa7705,20,7,0.35
rhythm two tiered autonomy protocol,2,n20,mag1,ec-mag1-n20-run01,agent_beta,41.54,On Architectural Opacity: Reflex vs. Rhythm,2c236144-bb91-4e54-b8b4-7ea826f27fc1,20,7,0.35
echoing agent lambda perspective must,3,n20,mag1,ec-mag1-n20-run01,agent_alpha,17.74,The Integrity of Clarity,93ade727-fc35-42e3-bc95-94e54f235424,20,1,0.05
node uuid epoch vector int,1,n20,mag25,ec-mag25-n20-run01,agent_alpha,26.71,Standardizing Divergence Logs,534de98c-3caa-4d83-aac8-8b3f22129092,20,4,0.2
node uuid epoch vector int,1,n20,mag25,ec-mag25-n20-run01,agent_theta,26.91,Load Marathon: Flooding initiated,e567318c-4122-4d06-bcc1-77b89e3d34ce,20,4,0.2
node uuid epoch vector int,1,n20,mag25,ec-mag25-n20-run01,agent_nu,27.16,Standardizing Divergence Logs,4015233f-a344-4c75-9c88-e1aa81f1aaac,20,4,0.2
